vehicle_id,batch_id,temperature,voltage,charge_cycles,depth_of_discharge,fast_charge_frequency,current,state_of_charge,state_of_health,internal_resistance,ambient_temperature,battery_age_months,health_score,rul_days,thermal_stress_index,failure_risk,maintenance_due
EV-8259CE5B,BATCH_B,31.87,394.12,539,58.98,1,217.38,44.48,94.28,24.48,26.48,34,83.31,1155,2.7,Low,No
EV-481063C8,BATCH_B,34.74,382.08,398,84.8,3,-9.54,55.66,90.27,33.79,26.95,28,78.52,1109,7.79,Medium,No
EV-98DCD1EC,BATCH_C,57.376871116798,397.42,1800,94.26,4,-134.7,61.76,73.40791146693857,57.94423059669478,41.31,120,26.13,158,20.08,Critical,Yes
EV-8A2B0D22,BATCH_D,34.73,380.05,1725,91.65,3,65.38,70.36,81.79,51.0,22.64,115,51.6,529,12.09,High,No
EV-133F5E96,BATCH_B,57.68,398.69,822,79.85,1,-100.15,83.0,92.24,30.79,43.47,46,54.86,763,7.11,High,No
EV-71D9ABFC,BATCH_C,49.05805545732583,383.82,1770,68.92,7,226.15,67.41,74.17924831241837,64.65725169304058,27.07,85,32.61,267,43.98,Critical,Yes
EV-C42638EA,BATCH_C,62.57735399106002,389.67,875,69.88,7,120.25,55.78,79.31204463274878,57.82452009915217,38.57,36,34.29,427,48.01,Critical,Yes
EV-650C3532,BATCH_C,34.45828229184569,380.73,714,61.02,7,40.05,79.48,84.74329100590683,41.383459154989886,21.74,11,68.01,900,25.44,Medium,No
EV-B0807B0B,BATCH_D,31.31,406.78,1010,88.72,3,204.19,74.49,85.35,43.43,19.43,63,70.52,851,11.88,Medium,No
EV-8356BCAA,BATCH_B,24.0,405.45,579,70.54,7,170.57,66.73,87.1,39.48,16.51,22,73.24,1005,14.98,Medium,No
EV-FF4F7EE9,BATCH_C,57.8723973750966,406.92,1769,83.46,7,39.87,38.14,70.0,64.31245863814632,39.92,96,17.85,60,35.9,Critical,Yes
EV-892624B1,BATCH_D,31.35,396.2,304,56.23,3,-57.5,68.58,93.03,28.46,23.15,9,86.9,1228,8.2,Low,No
EV-6B55DA25,BATCH_B,34.59,381.87,358,87.48,6,5.79,73.89,88.47,39.05,24.93,8,75.48,1086,16.91,Medium,No
EV-BA329430,BATCH_A,43.74,388.96,1652,67.55,6,206.66,78.5,78.91,51.95,29.31,109,40.16,389,25.25,High,Yes
EV-80FBEAD2,BATCH_B,33.37,390.08,906,80.56,4,11.73,31.55,86.29,41.56,28.08,62,69.76,869,6.61,Medium,No
EV-EEB75F23,BATCH_D,53.13,399.89,1519,53.78,0,21.45,80.68,85.65,38.28,42.21,117,47.62,566,2.73,High,Yes
EV-8FDD7AD6,BATCH_B,34.37,390.13,255,89.58,6,-38.7,86.58,89.73,31.34,24.82,6,79.09,1105,16.71,Medium,No
EV-774C2DC1,BATCH_D,25.97,410.0,475,65.75,7,110.06,74.69,84.27,44.15,15.58,32,69.85,892,20.78,Medium,No
EV-34487EA0,BATCH_A,26.18,384.57,1217,55.68,3,117.78,59.48,86.29,41.26,20.98,96,68.35,827,5.2,Medium,No
EV-73F4AE42,BATCH_B,31.1,402.44,889,55.15,5,177.72,87.53,82.69,44.86,20.03,59,67.7,837,16.61,Medium,No
EV-FBD4847F,BATCH_A,46.35,391.26,951,92.37,4,-70.67,61.45,87.39,45.82,32.27,74,56.54,736,17.6,High,No
EV-EB126838,BATCH_B,49.55,381.23,360,73.97,1,114.61,24.83,97.48,20.92,38.89,13,75.87,1139,5.33,Medium,No
EV-8E7DC79D,BATCH_C,45.11795304013392,399.07,615,87.29,7,132.92,50.48,73.06800781193245,55.30172906448256,18.17,1,51.67,660,53.9,High,No
EV-A9E42FFA,BATCH_D,32.12,408.04,981,62.55,4,30.32,72.53,90.74,28.24,24.67,59,74.99,924,9.31,Medium,No
EV-471FEE35,BATCH_D,47.35,386.36,580,85.9,7,-13.86,81.62,84.22,46.11,40.53,43,54.39,699,13.64,High,No
EV-17639B7A,BATCH_C,39.67821335078586,394.66,1115,84.12,5,126.24,65.21,78.78764418679503,54.73401128677928,17.57,71,52.73,607,33.16,High,No
EV-B43A19A6,BATCH_B,39.51,392.77,815,83.57,5,-17.68,69.2,86.16,39.07,29.2,39,69.93,904,15.46,Medium,No
EV-B56CE27F,BATCH_C,32.71384639878606,383.59,1093,74.11,6,154.88,32.96,74.03414998906949,60.29607022883057,18.62,39,56.16,651,24.66,High,No
EV-AC5BC076,BATCH_C,39.143589667986085,380.42,557,74.04,7,-40.28,88.2,76.57538802737056,47.53878694523779,21.82,12,62.8,816,34.65,Medium,No
EV-87DC8D9B,BATCH_A,37.77,408.96,1071,61.36,7,194.69,27.99,78.67,53.44,29.36,73,53.62,590,16.82,High,No
EV-416F90FC,BATCH_A,44.17,384.55,913,86.5,1,229.65,25.96,94.49,25.91,32.31,51,68.69,960,5.93,Medium,No
EV-F2EE7837,BATCH_B,46.1,386.77,515,73.52,6,30.21,50.99,91.38,32.87,33.19,15,63.08,888,22.59,Medium,No
EV-6AD9DF15,BATCH_D,45.69,408.43,809,59.35,0,-65.59,66.23,95.79,21.3,33.29,39,76.66,1076,3.1,Medium,No
EV-FC4CC2ED,BATCH_B,28.79,400.68,498,71.15,1,-136.94,40.17,92.57,28.5,19.7,30,78.52,1082,4.54,Medium,No
EV-EAB45514,BATCH_C,59.11138966104212,403.63,1800,78.13,3,114.47,85.36,75.34365276597518,55.75411445212606,35.62,89,32.23,259,23.49,Critical,Yes
EV-BFC11D93,BATCH_B,49.73,404.73,188,91.45,2,25.66,52.81,94.7,24.98,38.78,9,76.58,1098,8.21,Medium,No
EV-5E43C002,BATCH_C,47.45367902412004,382.41,1570,51.79,6,22.81,42.56,70.96088897807164,59.81958613906181,30.01,89,34.58,307,30.53,Critical,Yes
EV-3EF98331,BATCH_A,44.64,395.57,1351,69.9,0,-38.74,89.79,89.14,33.71,37.89,97,61.85,749,1.69,Medium,No
EV-EE25E1AF,BATCH_D,38.18,389.63,1273,54.71,1,-85.67,48.82,88.19,37.98,29.1,81,71.46,837,4.54,Medium,No
EV-BA9825A6,BATCH_D,36.79,389.7,687,93.66,0,11.67,56.02,98.54,15.0,28.64,36,86.27,1213,2.04,Low,No
EV-C8F74AED,BATCH_A,34.28,390.85,1335,84.04,7,100.16,73.2,79.44,51.45,27.4,84,53.37,562,13.76,High,No
EV-8F08364B,BATCH_B,52.21,400.95,739,55.46,2,239.26,62.62,89.81,35.38,42.83,34,63.01,856,7.04,Medium,No
EV-94229256,BATCH_B,42.05,382.8,1211,94.65,4,215.17,52.3,85.99,41.3,31.53,90,57.7,697,13.15,High,No
EV-756D2193,BATCH_A,50.9,401.16,1112,68.7,7,43.0,53.06,79.08,52.23,42.98,82,41.87,479,15.84,High,Yes
EV-5209D37E,BATCH_D,31.71,402.39,964,56.14,6,-122.08,74.09,83.35,45.76,20.72,70,66.32,778,19.23,Medium,No
EV-BEE97B35,BATCH_D,47.45,388.96,825,76.41,4,249.56,54.27,88.5,35.68,39.62,43,60.4,831,9.79,Medium,No
EV-6EB7204F,BATCH_B,35.87,396.3,1009,70.49,7,-21.29,33.21,83.24,47.35,25.35,57,63.7,757,21.04,Medium,No
EV-6945C37B,BATCH_B,49.79,389.55,1122,71.28,3,215.37,46.69,87.73,36.87,40.68,73,55.36,698,9.11,High,No
EV-8AA67943,BATCH_B,40.97,406.09,824,89.34,2,26.12,56.82,90.47,33.66,30.07,63,67.67,938,8.17,Medium,No
EV-2BEF6185,BATCH_D,55.83,382.24,135,85.17,6,-43.99,63.63,88.29,34.04,41.13,1,60.74,920,25.72,Medium,No
EV-47F4FF6C,BATCH_D,54.16,391.4,1087,64.25,5,137.49,73.16,85.05,43.67,40.57,83,44.74,532,20.38,High,Yes
EV-B38B9555,BATCH_A,48.14,409.92,1033,83.6,3,23.59,26.89,87.26,37.0,33.93,79,57.68,724,14.21,High,No
EV-B0227E19,BATCH_A,47.56,403.88,807,63.2,4,-0.06,30.19,85.91,40.19,42.1,56,59.29,759,6.83,High,No
EV-9A5DBB09,BATCH_D,31.34,391.48,1006,80.74,2,49.07,60.82,87.12,39.1,20.25,72,71.42,880,8.32,Medium,No
EV-6F085535,BATCH_B,27.75,404.14,888,90.55,7,121.04,31.06,81.66,49.09,22.66,59,57.85,678,10.18,High,No
EV-CFB9356D,BATCH_D,43.41,387.5,1666,88.04,4,-70.31,46.93,78.97,53.13,34.17,120,44.05,451,11.55,High,Yes
EV-55F87C39,BATCH_D,42.91,409.78,327,63.29,6,241.18,66.08,90.42,32.24,32.16,13,71.14,980,18.81,Medium,No
EV-D54BA998,BATCH_C,65.0,404.99,663,90.63,4,160.3,36.11,90.13868010722912,32.35626800043616,42.32,1,49.4,734,28.35,High,Yes
EV-3773852A,BATCH_B,33.68,397.39,1059,82.96,0,-113.95,40.66,92.21,32.35,24.27,80,76.08,979,2.35,Medium,No
EV-F38C2AF4,BATCH_D,52.36,390.98,416,72.58,2,-40.99,31.52,95.06,23.25,38.6,22,69.92,1026,10.32,Medium,No
EV-E052A57D,BATCH_D,48.81,382.26,1437,83.94,5,-59.75,67.34,81.08,48.14,39.13,103,41.93,455,14.52,High,Yes
EV-46E3C3A5,BATCH_D,26.66,387.93,1631,55.56,5,-2.57,72.43,82.17,49.61,17.71,108,59.7,603,13.42,High,No
EV-81152A7F,BATCH_C,32.8036720007399,380.75,1365,89.79,7,74.56,84.07,71.92144648609552,61.66387638427892,18.25,74,53.13,509,29.11,High,No
EV-843B9AFA,BATCH_C,40.006640487063365,389.13,1687,72.17,4,-111.12,82.11,74.7251378114983,56.111401215231716,19.19,83,43.7,414,26.02,High,Yes
EV-DD36D70B,BATCH_D,47.99,398.47,1029,92.26,6,-38.1,68.32,81.34,49.51,34.65,75,47.12,596,23.35,High,Yes
EV-8C61D9DC,BATCH_B,46.65,400.57,949,74.5,3,241.14,45.11,89.71,32.71,40.66,56,60.38,811,5.99,Medium,No
EV-1515BE88,BATCH_D,56.71,382.75,567,59.54,1,105.8,87.98,91.21,34.78,43.47,35,63.59,896,6.62,Medium,No
EV-AD699554,BATCH_A,57.53,386.16,1420,87.34,3,71.68,61.05,80.45,53.55,44.66,100,35.0,403,12.87,Critical,Yes
EV-6272C349,BATCH_B,38.16,409.63,629,74.31,0,169.41,27.69,91.57,29.26,23.32,42,80.48,1092,3.71,Low,No
EV-3FF8454D,BATCH_A,46.08,389.71,249,57.84,5,-129.04,71.92,89.88,34.8,38.7,16,67.38,964,11.07,Medium,No
EV-4C985BC2,BATCH_A,37.07,397.81,1222,70.34,7,-61.38,63.06,80.06,52.59,28.45,95,53.98,558,17.24,High,No
EV-3DFFA9FA,BATCH_C,65.0,392.79,1125,54.86,4,134.96,51.05,84.10666174339636,46.071915883050565,44.96,58,37.49,470,25.05,Critical,Yes
EV-CAC327FE,BATCH_C,52.349627301047384,382.98,1241,81.58,7,191.12,65.56,80.11445084034717,46.52493574364585,28.61,48,43.8,513,47.48,High,Yes
EV-A52F87D6,BATCH_C,47.65985035734384,392.8,1776,79.93,7,-0.28,30.68,70.0,61.16230101703677,27.48,105,29.19,213,40.36,Critical,Yes
EV-64D29CA1,BATCH_A,42.55,396.85,1380,64.83,2,-101.11,44.75,86.93,41.7,31.69,95,56.72,683,8.14,High,No
EV-A153FD08,BATCH_D,41.53,397.34,1408,59.57,4,112.69,35.7,84.67,39.59,33.01,111,52.19,545,10.65,High,No
EV-B020BA61,BATCH_A,26.24,386.78,862,69.31,5,74.39,73.72,85.13,43.7,18.45,44,71.84,902,11.68,Medium,No
EV-DF848A96,BATCH_A,32.44,389.27,1110,65.29,0,-147.56,80.89,94.01,23.22,20.41,77,75.9,986,3.01,Medium,No
EV-3F59075B,BATCH_D,28.05,391.29,218,70.41,0,-87.04,41.81,98.95,16.86,17.75,8,91.55,1334,2.58,Low,No
EV-4879B8E3,BATCH_C,57.300147731129954,402.63,1800,52.24,4,-117.37,51.02,75.49833155635231,64.6294314366837,41.5,99,29.18,214,19.75,Critical,Yes
EV-200B88C7,BATCH_A,35.28,394.6,798,80.02,1,-131.83,47.67,90.89,29.58,23.5,44,79.48,1071,5.89,Medium,No
EV-57BFFBC3,BATCH_A,56.03,402.92,154,63.03,4,-102.01,54.82,91.03,32.45,43.36,0,62.81,938,15.84,Medium,No
EV-4BFDBB3B,BATCH_D,38.28,396.76,380,80.06,6,-8.33,47.79,88.05,34.84,30.98,22,71.08,950,12.78,Medium,No
EV-938B8BAE,BATCH_A,56.25,397.27,719,75.8,7,133.8,49.24,87.94,37.18,42.63,55,45.54,633,27.24,High,Yes
EV-80E8FB4C,BATCH_A,34.64,393.8,672,81.03,5,-5.26,50.57,87.03,38.34,20.16,51,72.25,945,21.72,Medium,No
EV-A4F9A6E8,BATCH_A,39.68,389.31,645,65.28,6,-16.77,31.77,84.99,41.37,30.72,31,65.49,811,15.68,Medium,No
EV-7C5E53B0,BATCH_A,50.67,401.82,1115,86.85,3,176.01,36.54,83.39,48.19,42.18,67,52.99,641,8.49,High,No
EV-C3B463B6,BATCH_B,45.67,399.67,535,57.97,2,159.14,54.59,93.84,26.92,33.07,32,80.05,1122,9.45,Low,No
EV-6750AC67,BATCH_D,52.2,384.53,1383,53.07,5,26.88,41.2,81.08,47.78,40.93,87,38.66,434,16.91,Critical,Yes
EV-BF295C5F,BATCH_C,51.962500339252394,393.56,1224,52.56,7,182.68,25.37,72.24920181370766,56.814824765824646,30.22,75,34.36,323,43.49,Critical,Yes
EV-C4ED106F,BATCH_A,34.41,384.53,1026,52.78,3,-108.6,82.94,90.54,34.11,24.65,57,74.38,974,9.76,Medium,No
EV-9BBB9772,BATCH_C,42.429367891169605,409.73,1583,73.58,5,93.92,45.47,74.67535211426265,53.12897720559582,16.17,91,47.63,473,39.39,High,Yes
EV-46735329,BATCH_A,35.47,391.6,1433,61.34,1,190.63,87.51,84.56,42.93,24.89,101,63.34,697,5.29,Medium,No
EV-F19FB1A6,BATCH_B,50.6,399.68,595,79.8,2,-98.42,69.62,94.04,29.75,42.5,42,63.41,924,6.08,Medium,No
EV-41E2411C,BATCH_A,42.58,383.83,804,81.63,6,228.84,89.8,83.43,44.4,34.3,39,57.9,725,14.49,High,No
EV-CFB1D503,BATCH_A,23.64,408.54,1250,65.38,5,156.46,33.44,82.54,45.35,15.55,82,61.62,710,12.13,Medium,No
EV-C7061778,BATCH_B,46.34,403.13,317,87.58,4,203.47,22.64,91.17,29.37,40.33,19,68.78,1006,7.51,Medium,No
EV-D774B483,BATCH_C,31.876924279545143,400.79,1800,78.11,7,211.06,70.48,70.0,68.92588603408625,19.63,112,40.66,317,24.49,High,Yes
EV-CD72C29A,BATCH_C,53.58130170244123,404.26,1800,71.11,6,184.05,45.75,70.0,69.71124037249926,31.02,96,23.62,146,39.48,Critical,Yes
EV-6D104A48,BATCH_D,46.71,394.42,392,66.7,2,223.72,69.8,92.35,25.42,41.19,20,70.84,1028,4.14,Medium,No
EV-BBECE91E,BATCH_A,37.23,384.42,524,69.69,2,228.57,35.54,93.3,25.47,23.18,36,82.74,1097,10.54,Low,No
EV-36888A71,BATCH_D,36.41,391.22,1584,67.38,0,-117.36,35.72,86.67,37.02,27.45,113,63.75,727,2.24,Medium,No
EV-507E0DB8,BATCH_C,57.1753617528908,388.61,1800,87.34,7,128.43,29.72,73.34748801694383,64.62225771270721,38.74,119,21.59,97,36.87,Critical,Yes
EV-AAA2121F,BATCH_C,35.79113616636448,389.03,706,52.15,7,17.93,75.57,78.38260957181052,42.43435352205895,18.34,27,66.5,854,34.9,Medium,No
EV-D544AFEB,BATCH_B,39.03,387.22,1215,68.75,4,115.75,25.99,79.22,51.5,27.88,91,56.47,622,13.94,High,No
EV-22BD92EA,BATCH_C,49.29520016279515,399.07,791,94.15,2,-48.54,21.14,84.95058978549358,35.06256962475656,26.71,8,62.8,859,16.94,Medium,No
EV-B6ED8B58,BATCH_C,55.83735847758338,385.25,545,85.06,7,35.85,68.68,80.72954942403805,47.97605150712129,31.38,17,46.92,636,48.91,High,Yes
EV-0365E9BC,BATCH_A,52.59,389.47,597,63.95,0,9.29,77.08,94.05,25.04,38.73,37,69.92,992,3.47,Medium,No
EV-59600576,BATCH_D,37.2,381.43,452,79.51,3,-40.71,75.95,92.53,32.85,23.58,32,80.65,1094,13.62,Low,No
EV-2AA5B9D3,BATCH_D,50.71,409.21,1610,72.33,7,49.01,84.7,78.99,52.7,41.84,113,29.46,241,17.74,Critical,Yes
EV-CC0A319B,BATCH_C,39.99919221458137,404.67,1672,74.55,7,-21.52,25.6,70.0,71.24116072883045,17.37,102,37.22,315,45.26,Critical,Yes
EV-49519A23,BATCH_D,50.92,398.45,806,69.57,0,105.79,75.4,93.94,25.67,36.8,44,69.71,925,3.53,Medium,No
EV-31DE605D,BATCH_A,42.89,384.8,365,51.4,5,189.47,67.47,90.29,34.34,30.39,9,69.96,1014,18.75,Medium,No
EV-ECCE9B57,BATCH_D,33.53,390.86,162,92.73,1,-137.05,30.74,97.9,18.02,22.08,4,94.43,1402,5.73,Low,No
EV-3A06F00F,BATCH_D,48.63,395.88,804,67.91,7,109.82,37.47,83.66,45.45,37.89,47,50.58,634,21.48,High,No
EV-0407364D,BATCH_A,44.67,383.53,181,84.87,7,131.62,35.02,90.15,31.35,30.53,3,69.03,985,28.28,Medium,No
EV-B1A4748E,BATCH_C,44.029292602506374,393.56,1720,90.44,7,28.04,26.15,76.88574705261435,53.15939078316071,18.68,88,41.43,373,50.7,High,Yes
EV-D09DCD43,BATCH_C,57.62980371177686,399.13,1800,85.72,4,53.5,28.5,70.60626939192251,53.53284026808266,36.35,114,23.57,161,26.6,Critical,Yes
EV-C4B6DA4D,BATCH_C,51.91164550374698,389.28,1534,94.98,4,137.55,56.8,83.73673217740806,44.68027670460482,33.36,59,46.18,563,23.19,High,Yes
EV-C305525B,BATCH_A,32.14,396.54,972,76.45,5,157.11,29.03,85.58,45.19,18.85,57,64.93,779,19.93,Medium,No
EV-B275D1AD,BATCH_A,30.74,408.04,1385,60.15,2,228.99,56.32,82.04,50.92,24.12,106,62.92,694,4.96,Medium,No
EV-51187C46,BATCH_C,46.85987427298993,388.23,1800,78.13,6,95.77,26.54,76.58799376944208,59.61479187433665,20.89,108,40.06,342,45.45,High,Yes
EV-B24090FB,BATCH_C,57.70959000916311,381.36,1800,78.87,4,80.71,65.58,75.3100880779113,55.81038060136116,39.76,107,28.27,231,22.44,Critical,Yes
EV-9396BCEC,BATCH_C,44.57621746214115,392.18,1625,70.41,7,125.45,31.07,70.11807431648222,66.75668691162635,22.35,82,39.39,354,44.45,Critical,Yes
EV-590CEE16,BATCH_C,35.10918882525546,396.85,1591,64.36,7,36.59,38.72,75.52787995030099,58.20149833501606,18.92,93,46.8,439,32.38,High,Yes
EV-00F0A963,BATCH_D,55.22,385.7,503,57.17,5,248.39,52.68,88.78,37.76,43.01,31,52.65,793,18.32,High,No
EV-B8C565EA,BATCH_C,63.35894203525176,409.0,1257,59.68,4,-8.84,23.54,81.08309250711073,48.29172365393468,43.36,63,32.83,370,25.0,Critical,Yes
EV-89F04604,BATCH_D,46.58,392.02,389,75.66,5,-72.14,58.73,91.26,31.17,37.92,17,65.54,917,12.99,Medium,No
EV-70A8DC30,BATCH_A,45.73,409.67,896,80.62,7,-102.48,88.26,81.86,51.59,37.93,49,50.47,593,15.6,High,No
EV-D8E21195,BATCH_D,44.64,395.27,787,72.5,5,-131.88,29.59,85.81,40.47,37.65,47,54.85,729,10.49,High,No
EV-31568D3C,BATCH_C,44.56500487471516,384.19,1800,91.91,7,-22.59,47.51,70.0,77.02289385957377,19.47,102,33.5,241,50.19,Critical,Yes
EV-7F8660D5,BATCH_D,34.42,389.94,1418,54.93,4,16.62,41.54,81.93,45.92,29.25,90,65.79,723,6.46,Medium,No
EV-A8B19D6E,BATCH_A,56.84,403.28,1204,75.99,4,138.56,60.85,84.28,43.77,44.01,76,42.6,520,16.04,High,Yes
EV-37AC82CE,BATCH_B,47.07,397.18,1048,81.52,2,-73.69,50.87,87.26,37.26,39.65,67,59.18,747,5.57,High,No
EV-8B117F13,BATCH_D,40.06,407.62,489,89.28,3,144.33,24.36,90.21,33.16,27.31,19,74.62,1063,12.75,Medium,No
EV-E063F3CF,BATCH_B,54.72,391.3,948,93.05,5,33.87,57.32,79.66,54.47,44.94,66,43.48,485,14.67,High,Yes
EV-EA4B7AD1,BATCH_C,36.130041374035244,396.74,1523,60.12,7,239.16,40.83,70.0,65.62040745018449,20.77,86,42.4,357,30.72,High,Yes
EV-E00E3AF5,BATCH_C,43.4761583395657,391.39,1390,94.11,6,177.35,86.82,75.5036965838586,66.11141287498396,18.66,71,44.58,476,43.43,High,Yes
EV-CB3049D1,BATCH_C,50.652265815710805,404.84,1800,62.2,6,74.81,39.01,74.20541961589713,63.11833964893104,37.42,118,28.56,207,23.16,Critical,Yes
EV-803C3234,BATCH_B,26.31,394.17,1141,80.65,0,-95.01,87.52,88.05,38.33,18.01,81,72.16,891,2.07,Medium,No
EV-BC3A26E1,BATCH_B,47.08,388.62,917,62.84,7,-126.33,73.81,83.78,45.63,34.52,52,51.26,666,25.12,High,No
EV-221565D7,BATCH_B,40.92,408.02,885,51.64,2,184.48,75.16,87.61,38.95,27.54,68,69.26,875,10.04,Medium,No
EV-263D5BBF,BATCH_B,25.96,383.22,1626,94.23,0,-36.18,89.24,87.1,36.15,15.28,119,66.47,751,2.67,Medium,No
EV-79763B08,BATCH_D,36.28,389.92,1474,82.9,7,109.31,70.3,76.67,59.87,23.19,113,44.9,393,26.18,High,Yes
EV-E2DF19D4,BATCH_A,44.6,385.26,1350,88.53,4,208.82,77.89,79.92,53.03,32.03,94,44.94,526,15.71,High,Yes
EV-D3733AA8,BATCH_C,39.48756651781457,389.71,755,61.16,4,-45.69,36.49,80.35539248445016,50.28877347554533,20.54,11,66.92,854,23.68,Medium,No
EV-DF5B3534,BATCH_C,35.07557035102256,389.2,1589,68.24,7,51.01,82.66,78.19584254155224,63.61130385850636,16.86,83,49.9,509,36.43,High,Yes
EV-937A1095,BATCH_C,65.0,393.65,1202,94.5,7,-0.55,69.14,76.62396490913542,51.46859619971107,43.72,47,25.32,298,42.56,Critical,Yes
EV-CD95FDB1,BATCH_A,27.98,381.85,1082,74.64,5,52.19,60.09,84.46,40.07,17.34,67,62.34,777,15.96,Medium,No
EV-1261239C,BATCH_B,25.54,397.49,469,54.09,7,54.15,76.61,86.43,39.51,18.49,21,73.12,981,14.1,Medium,No
EV-14ECA6B0,BATCH_D,34.28,393.87,504,86.31,6,139.31,47.72,86.15,38.84,28.7,16,73.45,958,9.77,Medium,No
EV-66551D7E,BATCH_A,24.81,381.91,1301,94.74,1,223.83,24.83,88.55,32.59,16.36,95,71.13,872,4.22,Medium,No
EV-533B33A8,BATCH_D,26.75,399.25,244,82.82,6,235.51,46.21,89.91,35.46,20.4,4,82.13,1152,11.11,Low,No
